,0,1
906,2_artsandcrafts_near,artsandcrafts_near
827,2_asianfusion_far,asianfusion_far
826,2_asianfusion_near,asianfusion_near
1377,2_auto_detailing_far,auto_detailing_far
1376,2_auto_detailing_near,auto_detailing_near
77,2_auto_far,auto_far
76,2_auto_near,auto_near
757,2_autopartssupplies_far,autopartssupplies_far
756,2_autopartssupplies_near,autopartssupplies_near
207,2_autorepair_far,autorepair_far
206,2_autorepair_near,autorepair_near
377,2_bakeries_far,bakeries_far
376,2_bakeries_near,bakeries_near
1157,2_banks_far,banks_far
1156,2_banks_near,banks_near
737,2_barbers_far,barbers_far
736,2_barbers_near,barbers_near
97,2_bars_far,bars_far
96,2_bars_near,bars_near
877,2_bbq_far,bbq_far
876,2_bbq_near,bbq_near
37,2_beautysvc_far,beautysvc_far
36,2_beautysvc_near,beautysvc_near
777,2_beer_and_wine_far,beer_and_wine_far
776,2_beer_and_wine_near,beer_and_wine_near
1217,2_bodyshops_far,bodyshops_far
1216,2_bodyshops_near,bodyshops_near
277,2_breakfast_brunch_far,breakfast_brunch_far
276,2_breakfast_brunch_near,breakfast_brunch_near
267,2_burgers_far,burgers_far
266,2_burgers_near,burgers_near
417,2_cafes_far,cafes_far
416,2_cafes_near,cafes_near
747,2_car_dealers_far,car_dealers_far
746,2_car_dealers_near,car_dealers_near
1317,2_carwash_far,carwash_far
1316,2_carwash_near,carwash_near
607,2_catering_far,catering_far
606,2_catering_near,catering_near
537,2_chicken_wings_far,chicken_wings_far
536,2_chicken_wings_near,chicken_wings_near
337,2_chinese_far,chinese_far
336,2_chinese_near,chinese_near
1107,2_chiropractors_far,chiropractors_far
1106,2_chiropractors_near,chiropractors_near
1307,2_cocktailbars_far,cocktailbars_far
1306,2_cocktailbars_near,cocktailbars_near
137,2_coffee_far,coffee_far
136,2_coffee_near,coffee_near
457,2_contractors_far,contractors_far
456,2_contractors_near,contractors_near
847,2_convenience_far,convenience_far
846,2_convenience_near,convenience_near
1347,2_copyshops_far,copyshops_far
1346,2_copyshops_near,copyshops_near
717,2_cosmeticdentists_far,cosmeticdentists_far
716,2_cosmeticdentists_near,cosmeticdentists_near
707,2_cosmetics_far,cosmetics_far
706,2_cosmetics_near,cosmetics_near
797,2_delis_far,delis_far
796,2_delis_near,delis_near
387,2_dentists_far,dentists_far
386,2_dentists_near,dentists_near
937,2_deptstores_far,deptstores_far
936,2_deptstores_near,deptstores_near
437,2_desserts_far,desserts_far
436,2_desserts_near,desserts_near
1097,2_diners_far,diners_far
1096,2_diners_near,diners_near
917,2_drugstores_far,drugstores_far
916,2_drugstores_near,drugstores_near
1067,2_dryclean_far,dryclean_far
1066,2_dryclean_near,dryclean_near
427,2_education_far,education_far
426,2_education_near,education_near
977,2_electronics_far,electronics_far
976,2_electronics_near,electronics_near
1137,2_eventplanning_far,eventplanning_far
1136,2_eventplanning_near,eventplanning_near
107,2_eventservices_far,eventservices_far
106,2_eventservices_near,eventservices_near
857,2_eyelashservice_far,eyelashservice_far
856,2_eyelashservice_near,eyelashservice_near
127,2_fashion_far,fashion_far
126,2_fashion_near,fashion_near
447,2_financialservices_far,financialservices_far
446,2_financialservices_near,financialservices_near
297,2_fitness_far,fitness_far
296,2_fitness_near,fitness_near
1357,2_florists_far,florists_far
1356,2_florists_near,florists_near
637,2_flowers_far,flowers_far
636,2_flowers_near,flowers_near
27,2_food_far,food_far
26,2_food_near,food_near
1457,2_french_far,french_far
1456,2_french_near,french_near
807,2_furniture_far,furniture_far
806,2_furniture_near,furniture_near
487,2_generaldentistry_far,generaldentistry_far
486,2_generaldentistry_near,generaldentistry_near
327,2_gourmet_far,gourmet_far
326,2_gourmet_near,gourmet_near
1387,2_greek_far,greek_far
1386,2_greek_near,greek_near
397,2_grocery_far,grocery_far
396,2_grocery_near,grocery_near
997,2_groomer_far,groomer_far
996,2_groomer_near,groomer_near
597,2_gyms_far,gyms_far
596,2_gyms_near,gyms_near
1437,2_hair_extensions_far,hair_extensions_far
1436,2_hair_extensions_near,hair_extensions_near
157,2_hair_far,hair_far
156,2_hair_near,hair_near
367,2_hairremoval_far,hairremoval_far
366,2_hairremoval_near,hairremoval_near
727,2_hairstylists_far,hairstylists_far
726,2_hairstylists_near,hairstylists_near
57,2_health_far,health_far
56,2_health_near,health_near
787,2_healthtrainers_far,healthtrainers_far
786,2_healthtrainers_near,healthtrainers_near
197,2_homeandgarden_far,homeandgarden_far
196,2_homeandgarden_near,homeandgarden_near
1227,2_homecleaning_far,homecleaning_far
1226,2_homecleaning_near,homecleaning_near
767,2_homedecor_far,homedecor_far
766,2_homedecor_near,homedecor_near
47,2_homeservices_far,homeservices_far
46,2_homeservices_near,homeservices_near
167,2_hotdogs_far,hotdogs_far
166,2_hotdogs_near,hotdogs_near
517,2_hotels_far,hotels_far
516,2_hotels_near,hotels_near
217,2_hotelstravel_far,hotelstravel_far
216,2_hotelstravel_near,hotelstravel_near
967,2_hvac_far,hvac_far
966,2_hvac_near,hvac_near
507,2_icecream_far,icecream_far
506,2_icecream_near,icecream_near
1047,2_indpak_far,indpak_far
1046,2_indpak_near,indpak_near
307,2_italian_far,italian_far
306,2_italian_near,italian_near
1007,2_itservices_far,itservices_far
1006,2_itservices_near,itservices_near
527,2_japanese_far,japanese_far
526,2_japanese_near,japanese_near
897,2_jewelry_far,jewelry_far
896,2_jewelry_near,jewelry_near
947,2_juicebars_far,juicebars_far
946,2_juicebars_near,juicebars_near
1287,2_landscaping_far,landscaping_far
1286,2_landscaping_near,landscaping_near
1077,2_laundryservices_far,laundryservices_far
1076,2_laundryservices_near,laundryservices_near
1447,2_lawyers_far,lawyers_far
1446,2_lawyers_near,lawyers_near
67,2_localservices_far,localservices_far
66,2_localservices_near,localservices_near
987,2_lounges_far,lounges_far
986,2_lounges_near,lounges_near
1237,2_makeupartists_far,makeupartists_far
1236,2_makeupartists_near,makeupartists_near
497,2_massage_far,massage_far
496,2_massage_near,massage_near
887,2_massage_therapy_far,massage_therapy_far
886,2_massage_therapy_near,massage_therapy_near
927,2_medcenters_far,medcenters_far
926,2_medcenters_near,medcenters_near
1117,2_media_far,media_far
1116,2_media_near,media_near
1267,2_medicalspa_far,medicalspa_far
1266,2_medicalspa_near,medicalspa_near
837,2_mediterranean_far,mediterranean_far
836,2_mediterranean_near,mediterranean_near
867,2_menscloth_far,menscloth_far
866,2_menscloth_near,menscloth_near
317,2_mexican_far,mexican_far
316,2_mexican_near,mexican_near
1257,2_mideastern_far,mideastern_far
1256,2_mideastern_near,mideastern_near
1247,2_mobilephones_far,mobilephones_far
1246,2_mobilephones_near,mobilephones_near
1367,2_movers_far,movers_far
1366,2_movers_near,movers_near
347,2_newamerican_far,newamerican_far
346,2_newamerican_near,newamerican_near
817,2_newcanadian_far,newcanadian_far
816,2_newcanadian_near,newcanadian_near
87,2_nightlife_far,nightlife_far
86,2_nightlife_near,nightlife_near
667,2_oilchange_far,oilchange_far
666,2_oilchange_near,oilchange_near
1337,2_opticians_far,opticians_far
1336,2_opticians_near,opticians_near
1187,2_optometrists_far,optometrists_far
1186,2_optometrists_near,optometrists_near
287,2_othersalons_far,othersalons_far
286,2_othersalons_near,othersalons_near
1177,2_pet_sitting_far,pet_sitting_far
