,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
3_chinese_far,chinese_far,1.93,0.31,0.81,-15.35,3.05,0,212,1637,4.35,11.61,211.8,-34.69,42.34,-64.86
3_japanese_far,japanese_far,-5.31,3.07,6.48,-11.29,72.78,68.35,2358,1599,6.42,4.12,211.43,54.49,-72.33,55.79
2_lounges_far,lounges_far,-3.21,-33.25,-26.46,105.71,58.59,70.94,63766,36690,151.58,199.97,211.36,-64.22,-90.79,103.79
4_food_near,food_near,-1.77,-21.63,53.14,33.71,53.78,80.93,5620,942,7.93,31.39,210.08,-166.43,-18.2,-4.24
1_hotels_near,hotels_near,4.63,-5.91,1.89,-36.86,4.61,2.24,984,2839,22.85,4.46,207.12,-63.16,-27.79,-78.42
1_gourmet_near,gourmet_near,-2.13,-2.95,-3.8,19.61,18.59,0,2609,6748,31.28,160.26,206.78,-173.83,-63.12,-103.49
0_dryclean_far,dryclean_far,-3.31,29.03,-51.08,-144.86,176.32,164.23,9959,362,12.24,57.76,206.44,-86.66,-59.66,-48.11
0_convenience_near,convenience_near,15.31,7.6,-23.53,-150.17,49.76,102.37,10741,747,8.6,39.76,206.15,-127.85,-105.13,61.87
1_sportsbars_near,sportsbars_near,-6.53,3.49,44.03,-165.72,30.17,3.49,2127,2599,139.36,88.73,205.93,-99.36,100.75,-13.37
1_breakfast_brunch_far,breakfast_brunch_far,-0.97,28.71,54.55,66.65,211.13,205.6,116052,28716,261.68,254.16,204.4,-0.73,-194.96,-152.07
2_wine_bars_near,wine_bars_near,-23.63,22.2,40.07,-8.87,67.67,16.68,22368,4987,37.01,15.11,204.06,-147.37,-143.45,-8.66
1_artsandcrafts_near,artsandcrafts_near,0.45,0.79,-6.27,85.59,0,0,1981,431,11.03,21.64,203.4,-38.1,36.57,-39.22
4_japanese_far,japanese_far,8.7,-7.48,19.98,65.7,40.27,19.3,1581,3647,0,8.93,199.92,-80.25,-30.34,-6.8
1_education_near,education_near,-0.29,-5.68,-4.08,141.93,22.39,23.61,763,434,0,12.1,197.96,-86.65,-26.54,-48.63
0_icecream_near,icecream_near,-6.04,-1.4,23.83,-132.57,26.18,3.89,17264,1697,25.93,2.53,197.95,2.99,-16.75,-32.86
2_cocktailbars_far,cocktailbars_far,-5.02,33.38,-73.49,225.37,277.14,3227.94,101982,18957,90.99,189.5,197.36,-25.43,-4.99,-159.18
2_juicebars_far,juicebars_far,21.23,22.16,18.52,-190.85,150.5,151.65,53967,12375,225.67,49.22,196.65,-130.11,-38.08,299.93
2_homedecor_far,homedecor_far,4.91,-17.54,62.09,55.82,113.99,49.29,32081,6508,106.62,206.52,196.55,-102.46,78.31,-31.25
1_thai_near,thai_near,-4.13,23.46,57.52,7.83,56.39,83.55,21681,973,0,27.94,195.09,-77.78,-192.63,-35.02
3_itservices_far,itservices_far,4.26,-1.26,-11.97,18.22,9.74,0,2077,886,28.36,32.89,194.92,-103.25,32.05,65.23
1_hairremoval_near,hairremoval_near,7.77,-3.56,2.08,-122.79,26.3,15.86,1290,2519,25.73,13.02,194.47,-89.38,77.8,-169.67
0_eventplanning_near,eventplanning_near,-11.94,3.9,-23.06,89.01,74.07,60.07,170721,13475,82.28,96.69,194.4,-32.02,-240.18,34.11
0_makeupartists_far,makeupartists_far,-9.79,1.14,61.16,-62.78,139.13,141.2,444698,19254,71.44,59.72,193.97,-79.15,212.14,-29.31
1_barbers_near,barbers_near,2.53,-0.34,-1,-153.7,10.91,76.32,12526,2545,111.71,60.13,193.6,34.54,3.96,-99.46
1_burgers_far,burgers_far,-3,9.68,7.24,80.68,398.97,289.54,56296,33464,214.28,293.77,193.56,-170.23,-130.69,30.84
4_sushi_far,sushi_far,3.39,-6.57,9.91,55.23,35.36,71.5,969,576,22.54,92.68,193.15,-128.31,174.12,-2.48
2_cosmetics_near,cosmetics_near,7.65,-8.22,40.51,-338.24,49.34,52.18,21677,4825,69.16,57.99,191,-134.18,-185.5,33.54
1_hairremoval_far,hairremoval_far,12.11,-28.7,-10.49,314.43,15.92,0,2474,9011,139.62,152.68,190.76,-128.95,-4.14,12.31
2_dryclean_far,dryclean_far,5.36,-11.31,-41.03,-145.28,95.95,199.14,62574,3479,102.35,40.09,190.22,-117.35,-200.81,47.58
1_servicestations_far,servicestations_far,-9.03,8.93,28.99,-117.41,58.22,29.02,1913,3040,296.32,146.74,189.96,-150.54,-157.48,-131.46
1_nightlife_near,nightlife_near,-31.78,29.6,-26.67,-74.3,107.38,135.97,33561,19383,149.46,131.64,187.5,-58.49,139.93,-237.31
2_arts_far,arts_far,12.87,19.48,-10.06,-21.68,94.86,176.6,146802,49163,368.97,531.91,185.72,-117.25,-29.83,40.42
0_barbers_near,barbers_near,-3.16,3.42,-24.1,-107.7,78.1,18.22,18705,571,9.21,7.39,185.69,-11.65,7.29,-54.4
2_deptstores_far,deptstores_far,45.76,-27.24,-45.16,-49.81,169.2,34.13,15813,3729,236.49,70.62,184.82,-13.81,-139.12,-74.51
1_hotelstravel_near,hotelstravel_near,0.29,0.52,-0.12,-7.26,32.27,0,186,2908,33.25,10.7,184.05,-54.61,-28.94,-63.85
4_homeservices_near,homeservices_near,-3.81,-7.75,-7,20.62,13.01,3.08,1753,617,25.91,0.86,181.85,21.35,-91.67,-56.87
3_medicalspa_far,medicalspa_far,-0.4,18.45,0.94,-61.24,44.48,23.58,58772,1615,29.94,43.78,181.31,-31.89,-136.59,38.57
4_shopping_far,shopping_far,1.59,7.04,-59.6,-52.81,123.39,77.77,371130,29433,170.48,254.81,180.34,-84.4,-322.95,46.61
1_sushi_near,sushi_near,5.96,-10.15,10.17,33.81,24.81,2.03,4459,632,0,9.49,179.94,-32.93,-50.65,-6.96
4_coffee_far,coffee_far,0,0,0,0,0,0,0,2189,0,7.29,179.74,-41.14,-181.39,-50.03
2_active_far,active_far,-19.07,13.93,57.54,-186.72,68.66,53.05,15442,13574,80.76,46.34,179.23,-109.18,-124.88,208.91
3_hotelstravel_far,hotelstravel_far,-3.15,-12.08,-6.12,134.95,10.45,53.62,2660,3607,12.78,31.38,177.65,29.51,33.11,-41.08
2_optometrists_near,optometrists_near,-0.98,-0.31,-23.23,27.77,52.14,55.33,20443,1335,2.99,3.88,176.95,-60.53,-34.01,-31.62
2_sandwiches_far,sandwiches_far,-15.23,-8.13,7.89,-35.08,112.73,175.63,81562,21570,350.47,275.26,175.68,-37.09,6.86,4.94
3_mexican_far,mexican_far,2.16,-2.72,1.34,-13.52,2.74,0.7,1053,298,0,0,174.68,-61.43,-7.88,-2.96
2_cocktailbars_near,cocktailbars_near,-9.79,-2.19,-30.13,244.05,55.02,382.98,38448,6428,26.29,89.58,173.86,-57.61,-108.96,5.37
0_petstore_far,petstore_far,24.81,5.29,17.34,-190.38,111.44,149.67,26085,9671,96.46,102.38,170.68,-14.37,-187.86,17.68
0_breakfast_brunch_near,breakfast_brunch_near,9.78,-8.1,-11.41,66.1,24.77,44.68,13860,1871,19.58,16.47,169.91,-86.3,166.05,30.06
3_medicalspa_near,medicalspa_near,-12.23,3.58,-4.22,12.65,22.26,3.29,21105,590,9.46,7.5,169.33,-66.27,-7.59,64.43
2_drugstores_far,drugstores_far,-2.93,2.18,53.35,-286.24,261.36,247.07,38545,7332,101.28,142.92,167.55,6.57,-41.04,-252.06
1_newamerican_far,newamerican_far,-4.66,28.92,-29.5,2.63,77.17,27.01,73391,16639,156.76,127.14,166.58,-164.95,-55.55,43.2
2_othersalons_near,othersalons_near,-2.65,37.54,-26.24,-120.16,77.23,99.73,41892,10424,174.52,119.7,164.1,44.43,-139.45,-19.24
2_selfstorage_far,selfstorage_far,4.66,-4.96,-2.71,12.1,0,3.1,394,584,10.79,132.97,164.06,-42.26,-80.53,-181.29
2_hair_extensions_far,hair_extensions_far,23.34,-12.9,50.1,-205.23,80.33,130.53,35487,14620,111.52,104.99,163.6,-41.4,-187.28,-162.44
0_burgers_far,burgers_far,25.23,13.92,9.48,-46.21,41.76,37.03,72175,1334,246.3,69.87,161.31,75.09,-201.35,-74.74
4_laundryservices_far,laundryservices_far,15.46,-5.06,-7.67,-29.53,36.27,110.66,8038,950,23.35,34.68,160.97,2.78,-156.41,-85.64
0_auto_far,auto_far,11.4,-43.77,-41.81,-57.92,295.19,329.76,1071773,236621,669.35,557.89,160.13,-78.55,-24.73,-188.57
1_catering_near,catering_near,-3.42,14.66,0.84,102.84,0,0,27435,8450,127.44,141.66,159.86,-92.57,72.74,12.27
1_icecream_near,icecream_near,16.94,1.11,10.25,11.66,129.6,97.12,22927,6110,170.48,64.82,159.84,43.61,-47.89,21.09
2_gourmet_far,gourmet_far,5.65,-14.99,-0.83,157.12,38.64,85.9,25821,34394,202.74,255.33,159.72,-50.53,-30.04,67.85
0_yoga_near,yoga_near,2.59,-33.74,100.84,-90.3,353.05,381.12,80229,8339,40.13,58.34,158.87,-31.49,11.87,34.01
3_hairstylists_far,hairstylists_far,-9.31,22.33,18.14,-124.84,81.35,88.88,51631,1693,18.03,66.91,158.86,80.69,-201.34,10.91
0_groomer_far,groomer_far,-10.32,2.59,0.49,0.82,133.79,130.44,102496,11551,217.01,183.44,158.75,-58.18,-72.67,-284.69
0_desserts_far,desserts_far,9.52,3.71,-59.59,188.61,177.63,133.31,96161,17925,106.9,93.9,157.83,-26.89,-70.38,84.86
2_skincare_far,skincare_far,-25.16,-8.49,-64.52,46.46,99.52,1249.39,192363,40032,243.99,141.21,157.63,-83.83,143.6,27.59
1_hotelstravel_far,hotelstravel_far,-0.92,0.4,-0.31,14.56,0,49.24,214,6073,43.38,59.91,156.9,-148.82,88.06,-57.43
2_mediterranean_far,mediterranean_far,-2.89,2.47,33.95,-54.58,70.39,95.7,40688,19119,85.01,66.54,156.48,-32.19,-198.57,-2.4
0_food_near,food_near,-3.95,-16.95,3.89,-7.43,213.57,273.87,289745,34444,89.12,154.53,156.31,-165.36,44.98,160.37
2_sportgoods_near,sportgoods_near,-5.21,13.29,-19.64,16.44,8.46,2.8,1217,3574,61.46,29.21,156.16,-70.43,19.03,-136.22
2_burgers_far,burgers_far,-38.79,17.39,61.61,-173.97,324.16,81.08,36101,17230,135.58,148.51,155.69,-74.16,143.55,-61.64
0_vegetarian_near,vegetarian_near,-0.52,-1.15,3.89,77.92,11.25,6.69,835,156,0,3.54,155.51,-5.42,-32.63,-21.61
2_health_near,health_near,27.97,-12.18,-37.7,88.08,77.72,26.87,51595,10115,95.1,92.55,155.11,96.17,-95.68,70.92
1_homeandgarden_far,homeandgarden_far,-0.33,-1.59,3.51,10.36,0,0,1480,3672,89.26,86.29,154.77,-177.42,112.57,-101.77
3_waxing_far,waxing_far,12.87,10.64,39.54,-189.92,38.03,54.15,13580,1107,124.33,30.55,154.56,-112.8,161.18,21.8
1_cocktailbars_far,cocktailbars_far,-1.64,1.66,-9.61,105.11,0,44.45,4167,2397,25.29,33.82,154.45,-46.61,146.25,12.84
2_contractors_far,contractors_far,-1.74,1.09,-1.58,-10.57,13.4,17.92,237,771,8.17,48.92,153.66,-11.85,-48.76,-39.45
2_burgers_near,burgers_near,-15,-11.58,-0.72,101.91,77.16,198.97,14612,5619,43.41,60.87,153.38,3.96,-4.77,-189.93
0_itservices_far,itservices_far,-11.79,5.73,-2.21,24.38,148.69,492.02,218564,34320,145.24,177.49,152,5.11,-82.33,-121.12
2_eyelashservice_near,eyelashservice_near,-13.99,-14.95,88.24,-319.29,120.26,94.49,42899,7275,50.86,57.99,151.73,-162.86,106.19,-72.03
0_transport_far,transport_far,13.82,-9.94,7.76,133.07,211.25,148.8,139320,71690,292.68,209.78,150.43,-91.65,91.59,57.95
1_french_far,french_far,-6.63,8.54,-9.61,4.81,62.43,21.87,545,670,24.03,34.3,150.15,1.35,31.05,-40.35
4_electronics_far,electronics_far,1.38,-9.57,-10.25,-34.95,0,0,6401,1634,9.27,35.07,149.51,-51.01,-110.44,-26.28
3_venues_near,venues_near,-3.55,-1.21,17.83,-38.59,2.82,3.39,6172,635,93.58,0,149.39,-122.7,215.89,-30.4
4_jewelry_near,jewelry_near,-5.26,-7.85,-32.92,7.84,6.75,3.76,11846,2026,0,2.43,149.01,-6.1,-38.32,-6.44
2_salad_far,salad_far,41.75,9.47,-31.45,188.88,94.94,34.1,85246,11068,106.95,134.39,148.85,49.63,-102.02,-250.12
0_hairremoval_near,hairremoval_near,9.85,-32.21,-17.02,149.11,0,2.9,1978,1695,12.99,53.58,148.57,-185.4,16.33,15.55
4_asianfusion_near,asianfusion_near,-1.18,1.83,-1.01,-8.76,0,0,148,291,6.49,0,148.31,-37.87,-3.56,-0.38
3_bakeries_near,bakeries_near,-2.62,1.82,5.55,-107.71,0,0,969,1175,13.11,0,148.08,-161.32,-93.61,86.29
2_eyelashservice_far,eyelashservice_far,-2.95,1.2,-14.5,-75.02,142.93,72.17,111789,20675,171.32,150.81,147.63,47.42,-95.99,-60.86
1_skincare_near,skincare_near,7.99,-2.93,-18.03,-94.71,19.36,43.18,5759,1393,8.72,35.24,147.52,-66.05,7.85,49.24
3_physicians_near,physicians_near,0,0,0,0,0,0,0,499,19.28,5.47,146.47,-70.5,-35.64,65.33
4_health_far,health_far,6.04,-12.28,-41.45,-15.62,20.56,14.57,8897,844,3.29,9.47,146.41,32.67,80.85,-75.12
3_french_far,french_far,-14.69,13.53,-19.32,183.96,91.91,163.24,14571,2495,148.83,34.19,145.66,-130.66,-153.61,304.1
0_grocery_far,grocery_far,16.58,-18.25,-92.09,-228.04,98.39,133.41,27587,2138,10.5,35.19,145.6,31.79,89.55,-91.49
3_icecream_far,icecream_far,5.33,0.56,-15.71,-20.25,8.23,10.95,825,3268,29.89,38.16,145.46,-100.68,-11.37,-29.73
1_eventservices_near,eventservices_near,0.32,7.45,31.65,127.52,23.2,88.17,39323,13950,76.3,193.66,145.07,-118.75,110.49,-22.53
2_shoes_far,shoes_far,-12.07,23.67,-89.1,150.74,150.2,53.53,40811,13824,40.59,118.69,144.73,-21.82,-132.67,88.45
3_accessories_far,accessories_far,39.63,1.24,9.35,-171.86,71.7,107.8,193429,13422,142.25,299.38,144.63,3.79,140.98,-44.69
0_physicaltherapy_far,physicaltherapy_far,-35.26,7.61,-37.52,97.73,1096.93,1399.47,253209,5204,92.42,244.53,144.41,25.63,-33.64,-166.12
0_bars_near,bars_near,4.15,11.89,32.48,-153.02,29.74,62.63,8056,3651,18.8,19.01,143.98,-15.51,41.71,-30.67
0_dryclean_near,dryclean_near,-9.68,29.56,-35.09,-128.31,51.39,85.24,2675,79,0,18.13,142.85,-31.69,-36.99,-15.37
1_hair_extensions_near,hair_extensions_near,0,0,0,0,0,0,0,601,3.09,0,142.44,-93.83,-21.29,38.7
3_beautysvc_far,beautysvc_far,-3.52,-26.09,42.08,26.35,186.14,236.96,394370,29359,121.11,166.12,142.34,2.01,-35.74,20.81
0_shoes_near,shoes_near,-11.4,23.68,29.53,69.59,52.73,60.37,27566,799,2.76,0,142.3,-72.06,59.55,-37.44
4_steak_far,steak_far,4.3,-0.52,12.45,130.92,68.96,0,7525,6242,25.2,7,140.7,41.48,-40.38,30.27
0_homeandgarden_far,homeandgarden_far,6.26,-9.09,31.36,-49.27,1.12,0,2284,51492,208.75,204.85,140.61,-110.18,-86.95,-35.03
1_optometrists_far,optometrists_far,-12.57,12.87,-8.2,4.4,1.52,78.18,484,295,8.16,35.08,140.13,-88.94,27.64,39.54
0_physicaltherapy_near,physicaltherapy_near,2.47,30.36,12.88,-67.32,103.52,265.93,81176,1665,9.83,55.39,139.45,-142.09,5.11,-19.88
0_professional_near,professional_near,-55.39,23.41,8.49,52.92,293.14,154.82,1334390,50889,196.62,190.24,138.92,-63.49,146.48,21.78
0_autopartssupplies_near,autopartssupplies_near,15.86,-17.17,26.26,-203.72,122.35,64.59,13502,4307,162.91,96.22,138.34,-108.99,274.83,-78.56
0_chicken_wings_near,chicken_wings_near,-1.78,0.29,8.21,7.14,0.1,63.63,1263,351,25.93,63.77,135.93,5.2,-45.75,-105.17
1_photographers_far,photographers_far,-0.66,-0.87,3.43,-7.82,0,0,167,169,0,0,135.43,-59.16,-5.95,-1.16
1_waxing_near,waxing_near,8.04,-6.28,-3.27,22.86,37.62,36.71,7531,1181,31.53,29.81,135.2,10.08,-31.67,-70.36
3_hairremoval_near,hairremoval_near,-0.56,-20.19,-0.18,48.39,20.51,0,3653,940,78.59,53.96,134.6,-49.33,-55.7,64.94
0_eventservices_near,eventservices_near,-0.07,14.22,3.78,60.68,1003.56,187.69,1722290,67599,201.09,221.32,133.61,0.16,-4.83,-58.47
4_womenscloth_near,womenscloth_near,-1.36,18.69,35.93,-144.53,0,0,34498,2240,13.06,0,132.94,-68.67,-63.83,35.73
0_photographers_far,photographers_far,-33.16,12.72,-20.83,-55.43,716.42,573.18,719944,106758,137.86,222.66,132.66,-119.98,142.36,167.58
1_indpak_near,indpak_near,21.92,-29.2,30.86,-12.62,0,0,36127,1378,11.19,7.13,132.58,2.3,-211.5,-2.79
3_skincare_far,skincare_far,-13.15,-5,23.1,-69.45,453.71,251.78,58249,5429,47.87,48.97,132.06,-154.07,-8.24,11.74
0_copyshops_near,copyshops_near,-4.41,4.79,-64.79,181.31,152.33,70.41,39158,4383,49.46,74.22,129.62,34.01,17.07,188.38
0_realestateagents_near,realestateagents_near,-30.58,6.95,38.33,-53.53,279.23,114.45,398383,6836,123.5,32.21,128.68,-40.29,151.39,-2.13
2_newamerican_far,newamerican_far,31.17,-35.44,-83.78,246.63,955.32,101.56,189727,55884,504.37,375.38,128.63,37.95,-41.64,-14.35
2_hair_extensions_near,hair_extensions_near,-18.38,-6.48,29.5,144.66,41.2,50.41,11935,4500,53.69,46.33,128.56,-42.85,-115.54,-85.18
4_coffee_near,coffee_near,0,0,0,0,0,0,0,793,0,7.42,128.5,-108.76,-10.59,-16.45
0_othersalons_near,othersalons_near,25.08,-30.74,-35.61,80.94,31.09,57.53,8163,1181,23.17,42.28,128.49,-15.82,-28.02,-14.88
0_petservices_near,petservices_near,0.48,10.27,-8.88,55.77,39.48,2.33,34856,12425,142.24,51.85,128.15,-30.15,50.04,33.54
2_accessories_far,accessories_far,8.62,1.69,-18.44,16.81,201.97,93.32,108055,18818,82.03,65.34,126.89,-2.64,-153.43,13.8
2_physicaltherapy_far,physicaltherapy_far,-4.1,2.09,-21.42,24.36,0,0,1377,194,0,36.85,125.31,-43.01,-69.84,8.94
3_florists_far,florists_far,0.62,11.83,59.78,-130.69,45.35,29.24,24423,3760,85.95,68.73,124.71,-6.97,113.61,-29.82
1_vegetarian_far,vegetarian_far,-9.55,-10.09,-0.27,44.87,19.35,35.23,4713,4549,178.03,26.47,123.46,-76.98,234.98,50.55
1_hair_extensions_far,hair_extensions_far,0,0,0,0,0,0,0,1345,30.48,0,123.45,47.61,-111.04,-3.64
1_skincare_far,skincare_far,9.79,3.4,-46.93,27.63,56.9,21.5,10727,4841,152.23,146.09,123.18,-71.84,77.22,41.21
0_opticians_far,opticians_far,14.65,28.36,-92.45,-211.08,64.19,89.35,40906,1591,69.19,24.34,122.1,-232.24,33.78,21.8
3_eyelashservice_far,eyelashservice_far,15.71,-13.26,-26.49,-196.8,63.08,32.79,30344,737,10.31,10.52,121.59,-76.44,119.53,-59.87
2_massage_therapy_near,massage_therapy_near,-2.42,-6.29,12.89,-121.8,19.31,19.11,23241,3936,91.26,29.91,121.57,-26.82,-306.32,197.07
0_opticians_near,opticians_near,7.52,-15.27,51.56,57.43,30.06,46.38,21393,583,8.77,31.72,121.39,-49.56,23.84,84.39
3_asianfusion_near,asianfusion_near,0.79,-1.1,-2.94,-5.86,11.2,0,246,1237,3.19,25.54,118.8,136.28,-214.83,-81.16
4_massage_far,massage_far,1.05,4.67,6.79,83.01,5.21,0,17220,797,14.08,1.43,116.96,-41.15,-0.52,6.54
2_yoga_near,yoga_near,-1.13,-1.45,-4.2,6.75,0,0,339,628,0,0,116.75,-37.79,-30.58,-20.97
0_salad_near,salad_near,-4.32,-2.54,25.34,240.27,18.89,58.74,14377,415,3.21,14.59,116.42,26.28,-136.24,-50.62
1_shoes_far,shoes_far,-7.53,-1.63,20.76,-22.06,62.44,54.11,6546,2056,40.38,0,115.56,-44.18,36.21,2.08
2_hairstylists_far,hairstylists_far,0.06,-3.57,-20.39,147.82,136.68,198.15,121163,27247,131.63,164.89,115.53,83.69,-201.07,35.81
1_massage_far,massage_far,-1.83,-9.4,-30.07,140.79,60.89,72.63,7900,5681,102.56,30.94,115.47,-41.22,-49.74,-26.01
0_venues_near,venues_near,-6.32,4.79,46.55,-115.64,111.54,55.15,32330,4078,96.62,119.72,115.23,67.53,-115,-313.86
2_waxing_far,waxing_far,-5.55,-12.13,49,99.35,192.98,391.24,111590,24811,217.32,182.47,112.25,-119.82,10.75,51.4
0_jewelry_far,jewelry_far,-23.52,19.15,-31.8,213.25,96.22,78.61,266147,6049,77.66,83.38,111.9,54.71,-39.71,28.48
3_juicebars_far,juicebars_far,10.07,-0.59,3.48,2.69,27.16,0.4,1414,2468,0,0,111.2,55.86,-130.11,-17.09
1_florists_near,florists_near,0.13,8.88,-16.51,-44.61,18.76,0,2031,94,7.28,1.43,111.18,2.83,-36.93,-0.45
2_deptstores_near,deptstores_near,-33.16,20.4,38.13,-49.15,26.4,29.66,5895,907,40.06,66.34,110.14,35.46,-49.52,-5.2
4_landscaping_far,landscaping_far,0,0,0,0,0,0,0,28,0,13.01,109.42,-26.2,-3.9,-2.89
1_specialtyschools_near,specialtyschools_near,-3.95,2.51,-2.64,-1.64,0,0,224,374,0,2.02,108.98,-60.97,-5.56,-44.26
2_breakfast_brunch_far,breakfast_brunch_far,-2.77,6.16,-28.61,134.19,337.9,201.96,98408,24014,182.8,391.24,108.55,-181,212.36,149.94
4_localservices_near,localservices_near,8.02,-14.83,9.22,42.38,10.4,47.7,14103,664,12.14,15.98,108.09,-50.38,-26.87,59.4
2_servicestations_near,servicestations_near,-6.14,7.41,-12.34,-2.97,26.96,11.01,976,625,41.37,22.42,108.01,-94.81,69.01,-16.69
0_cafes_near,cafes_near,1.11,-10.64,11.56,-37.94,91.53,36.03,8719,739,35.7,83.02,107.04,18.22,-191.8,-46.65
4_seafood_far,seafood_far,1.44,-0.8,19.36,100.23,6.53,6.43,4046,2823,0,28.09,106.64,1.86,-41.05,-82.9
0_massage_far,massage_far,0.5,-47.65,-1.65,37.05,113.82,109.67,140692,9039,72.38,111.12,105.34,17.31,-49.78,81.63
2_chinese_far,chinese_far,-34.85,21.32,99.06,1.79,75.95,142.29,61040,23080,292.7,210.53,104.85,20.05,-9.99,49.01
1_nightlife_far,nightlife_far,24.97,-24.52,27.86,-20.01,129.5,41.54,86679,49606,258.85,401.46,104.74,-69.93,-47.77,-128.5
2_menscloth_near,menscloth_near,-7.74,3.72,-39.98,220.04,86.55,9.79,33542,4601,13.38,12.48,104.56,-55.53,116.15,-35.26
0_landscaping_far,landscaping_far,-27.37,19.67,89.47,-44.81,197.92,97.02,524912,57064,248.82,230.21,104.03,-94.04,-475.62,-352.63
3_bakeries_far,bakeries_far,-3.26,8.81,11.44,57.15,10.12,7.39,18762,3554,55.03,8.3,103.99,97.27,-91.12,-35.27
4_venues_near,venues_near,0.85,0.47,10.08,-42.37,0,0,1447,197,7.89,5.24,103.86,15.11,-108.68,-14.17
3_burgers_near,burgers_near,0.52,-3.78,-2.24,11.52,0,10.75,322,86,0,0,103.47,-39.05,-15.72,-6.44
2_greek_far,greek_far,1.88,-5.04,-6.77,-84.89,111.42,45.82,12512,10627,8.03,68.54,102.6,-122.18,174.83,-51.79
1_burgers_near,burgers_near,4.84,-8.61,-36.55,-172.59,202.02,28.24,21296,11468,81.53,78.54,101.81,-102.91,20.18,-82.59
0_professional_far,professional_far,-5.47,-0.97,5.44,33.4,343.03,560.79,4242674,221164,556.64,422.56,101.65,-24.53,-63.02,-37.61
4_massage_near,massage_near,0.05,-0.2,-0.04,-0.03,0,0,581,324,0,0,101.41,-51.12,14.51,-9.33
4_nightlife_near,nightlife_near,-1.83,0.84,0.25,-2.27,0,0,3100,722,1.02,26.06,101.21,-27.08,-26.29,-88.6
3_barbers_near,barbers_near,7.07,1.87,-23.43,178.72,7.57,7.76,3526,319,6.92,21.65,100.82,0.47,-81.63,-47.91
1_bbq_far,bbq_far,-33.69,38.95,-46.29,-179.07,164.85,282.77,54472,7430,106.01,165.74,100.66,-125.37,144.79,-63.84
2_pets_far,pets_far,-0.19,2.42,-15.92,-84.49,14.54,3.4,130,306,13.71,12.11,100.62,-21.63,3.61,-36.77
0_publicservicesgovt_near,publicservicesgovt_near,24.12,-41.38,0,-58.64,168.93,154.1,111366,7112,48.27,129.72,100.33,-102.95,47.01,2.25
2_auto_near,auto_near,5.33,-6.9,-0.72,-13.91,5.64,14.32,320,1332,20.26,8.62,99.95,-123.37,196.79,-73.59
1_hotdogs_far,hotdogs_far,21.43,-44.91,-21.47,-247.79,257.43,479.11,141742,41088,318.99,353.61,99.69,-16.04,-119.59,-106.7
4_bars_far,bars_far,0.87,0.72,3.67,-47.55,0,1.75,562,1515,117.21,49.37,99.68,72.45,-0.43,-87.57
4_newamerican_near,newamerican_near,1.01,3,-2.79,-71.94,4.72,2.76,1071,639,17.43,51.17,99.58,-114.45,71.06,51.73
0_car_dealers_near,car_dealers_near,40.89,-10.6,-17.6,-116.05,97.8,37,18858,3475,63.9,92.01,99.11,-45.88,154.5,-44.92
3_bbq_far,bbq_far,0,0,0,0,0,0,0,418,0,0,98.35,-16.63,-27.49,9.52
4_professional_near,professional_near,-0.16,-3.05,0.84,81.66,26.27,0,128,122,6.17,0,98.29,-41.62,-0.25,-9.39
2_hotdogs_far,hotdogs_far,1.39,4.49,51.66,216.15,19.64,60.3,24357,4421,115.09,183.87,98.18,-64.71,57.66,-96.66
3_massage_near,massage_near,-8.74,-8.54,-33.6,-51.83,167.5,597.97,7323,638,0,4.23,97.83,-50.09,-39.54,-47.67
3_mideastern_far,mideastern_far,0,0,0,0,0,0,0,214,12.74,17.71,97.48,-21.52,2.28,2.32
0_healthtrainers_far,healthtrainers_far,59.62,-11.05,-42.97,-120.35,250.82,1334.5,324304,15903,210.56,319.41,97.42,-39.79,-298.59,179.16
2_sportsbars_near,sportsbars_near,-10.49,0.22,33.46,133.35,44.41,14.4,10318,4900,82.11,108.61,97.4,-71.95,-91.79,-30.29
3_itservices_near,itservices_near,-0.02,-0.89,-6.33,14.87,0,0,675,324,0,19.4,97.31,-21.4,34.14,-30.94
0_seafood_near,seafood_near,-12.64,30.59,-15.24,-100.21,5.9,58.23,4395,1291,24.74,6.86,97.2,-56.53,-67.6,51.04
2_italian_near,italian_near,-27.75,-17.34,8.61,31.35,82,378.07,49065,9124,262.19,77.35,96.53,-26.03,114.78,-89.27
3_theater_far,theater_far,5.46,-7.49,-10.79,75.73,0,0,4887,533,0,0,95.18,10.95,-43.47,-31.77
2_waxing_near,waxing_near,9.22,18.58,-34.34,161.74,216.33,146.48,43397,8563,67,82.31,94.56,10.76,-13.81,52.41
1_restaurants_near,restaurants_near,54.52,5.85,-42.97,13.37,308.59,346.99,362705,108382,399.3,401.24,93.43,-94.86,-33.6,54.76
3_deptstores_far,deptstores_far,-2.39,-9.2,4.67,41.27,0,0,3870,671,27.76,10.12,91.56,-56.72,47.7,17.3
