,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
0_auto_near,auto_near,0.0421,-0.0392,-0.0481,-0.0334,0.0031,0.0018,305534,56231,0.0023,0.0045,0.0165,0.0133,-0.2448,-0.1058
1_auto_near,auto_near,0,0,0,0,0,0,0,1090,0.0004,0.0005,0.3044,-0.103,-0.0882,-0.0849
2_auto_near,auto_near,0.0053,-0.0069,-0.0007,-0.0139,0.0001,0.0001,320,1332,0.0002,0.0001,0.1,-0.1234,0.1968,-0.0736
3_auto_near,auto_near,0.0021,-0.0011,0.0045,0,0,0,148,162,0.0001,0.0001,-0.052,0.039,-0.0632,-0.0034
4_auto_near,auto_near,0.0016,-0.0022,-0.0042,-0.0022,0,0,57,50,0,0,-0.0081,-0.0182,-0.0065,0.052
0_autopartssupplies_far,autopartssupplies_far,0.0423,-0.0237,-0.0142,-0.3915,0.0012,0.0004,34338,19078,0.0026,0.0027,-0.0327,0.0504,0.0351,0.0224
1_autopartssupplies_far,autopartssupplies_far,-0.0002,0.0006,-0.0006,-0.0004,0,0,7,0,0,0,0,0,0,0
2_autopartssupplies_far,autopartssupplies_far,0.0019,-0.0026,-0.0037,-0.0016,0,0,148,316,0,0.0001,-0.0058,-0.0201,0.0044,0.029
3_autopartssupplies_far,autopartssupplies_far,0,0,0,0,0,0,0,65,0.0002,0,-0.0107,0.0082,0,0
4_autopartssupplies_far,autopartssupplies_far,0,0,0,0,0,0,0,66,0,0,-0.0244,0.0165,-0.0086,0
0_autopartssupplies_near,autopartssupplies_near,0.0159,-0.0172,0.0263,-0.2037,0.0012,0.0006,13502,4307,0.0016,0.001,0.1383,-0.109,0.2748,-0.0786
1_autopartssupplies_near,autopartssupplies_near,-0.0001,-0.0002,0.0022,-0.0043,0,0,3,0,0,0,0,0,0,0
2_autopartssupplies_near,autopartssupplies_near,0.0003,-0.0005,-0.0006,-0.0003,0,0,25,116,0,0,0.0111,-0.0032,0.0056,-0.032
3_autopartssupplies_near,autopartssupplies_near,0,0,0,0,0,0,0,11,0,0,0.002,-0.0041,0,0
4_autopartssupplies_near,autopartssupplies_near,0,0,0,0,0,0,0,9,0,0,-0.0015,0.0037,0,0
0_autorepair_far,autorepair_far,0.0186,-0.0067,-0.079,-0.0431,0.0036,0.0026,181372,74002,0.0034,0.0052,-0.1302,0.1369,-0.1959,0.1753
1_autorepair_far,autorepair_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_autorepair_far,autorepair_far,0,0,0,0,0,0,0,108,0,0,0.0114,0.0302,-0.0031,-0.0002
3_autorepair_far,autorepair_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_autorepair_far,autorepair_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_autorepair_near,autorepair_near,0.01,0.0121,-0.0714,-0.2548,0.002,0.0019,55162,19878,0.0014,0.002,-0.103,0.0707,0.0704,0.0258
1_autorepair_near,autorepair_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_autorepair_near,autorepair_near,0,0,0,0,0,0,0,38,0,0,0.0117,-0.0091,0,0
3_autorepair_near,autorepair_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_autorepair_near,autorepair_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_bakeries_far,bakeries_far,-0.0402,-0.0153,0.0977,0.0135,0.0014,0.0017,83253,3832,0.0004,0.0007,-0.3863,0.1966,-0.1465,-0.1401
1_bakeries_far,bakeries_far,-0.002,-0.0284,0.0102,0.0295,0.0023,0.0017,114414,17079,0.0019,0.0025,-0.238,0.1064,-0.1607,-0.1247
2_bakeries_far,bakeries_far,-0.0611,0.0455,0.0445,-0.1086,0.0036,0.0019,63520,33222,0.0008,0.0016,-0.2193,0.0267,0.1199,-0.1458
3_bakeries_far,bakeries_far,-0.0033,0.0088,0.0114,0.0571,0.0001,0.0001,18762,3554,0.0006,0.0001,0.104,0.0973,-0.0911,-0.0353
4_bakeries_far,bakeries_far,-0.0025,-0.0029,-0.0013,0.0845,0,0,792,15,0,0,0,0.0002,-0.0001,-0.0002
0_bakeries_near,bakeries_near,-0.0097,-0.0194,0.0649,0.0911,0.0006,0.0005,24203,1429,0.0002,0.0002,-0.0919,0.1406,-0.1481,-0.1114
1_bakeries_near,bakeries_near,0.0001,-0.0089,0.0273,0.0054,0.0011,0.0008,49056,5340,0.0008,0.0005,-0.2699,0.2148,-0.3044,-0.1689
2_bakeries_near,bakeries_near,-0.005,-0.0077,-0.0042,-0.0769,0.0008,0.0004,27603,9420,0.0003,0.0006,-0.3574,0.2039,-0.3235,0.0637
3_bakeries_near,bakeries_near,-0.0026,0.0018,0.0056,-0.1077,0,0,969,1175,0.0001,0,0.1481,-0.1613,-0.0936,0.0863
4_bakeries_near,bakeries_near,0.0007,-0.0007,-0.0028,0.0397,0,0,732,2,0,0,0,0,0,0
0_banks_far,banks_far,-0.0153,-0.0053,0.0219,0.0261,0.0017,0.0019,244867,18713,0.0012,0.0014,0.3394,-0.043,0.0287,-0.1056
1_banks_far,banks_far,0.0069,-0.0088,-0.0096,0.0399,0,0.0001,3891,42,0,0,0.044,-0.0155,-0.0019,-0.0004
2_banks_far,banks_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_banks_far,banks_far,0,0,0,0,0,0,0,68,0,0,0.0067,-0.0104,-0.0015,-0.0007
4_banks_far,banks_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_banks_near,banks_near,0.0093,-0.0118,-0.014,0.0502,0.002,0.0006,84789,4720,0.0004,0.0008,0.045,0.0535,0.0363,-0.0219
1_banks_near,banks_near,-0.0023,0.0041,-0.0168,0.0143,0,0,1390,36,0,0,-0.0442,0.0181,-0.0002,-0.0001
2_banks_near,banks_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_banks_near,banks_near,0,0,0,0,0,0,0,22,0,0,0.0024,-0.0056,-0.0004,-0.0003
4_banks_near,banks_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_barbers_far,barbers_far,0.0201,-0.0151,-0.0852,-0.0605,0.0006,0.0028,50152,1639,0.0004,0.0011,-0.1273,0.1454,-0.0537,0.0384
1_barbers_far,barbers_far,0.0377,-0.041,-0.0338,-0.0171,0.0021,0.0008,35972,7027,0.0006,0.0016,-0.0925,0.1208,-0.0048,-0.1889
2_barbers_far,barbers_far,0.0109,-0.0031,0.0092,0.0922,0.0026,0.0016,85285,12275,0.0012,0.0013,0.2475,-0.0966,-0.201,0.0976
3_barbers_far,barbers_far,0.0006,-0.0331,-0.0006,0.1778,0.0002,0.0008,8819,851,0.0006,0.0004,-0.0257,-0.0634,0.1824,-0.1019
4_barbers_far,barbers_far,0,0,0,0,0,0,0,64,0,0,0.0751,-0.0097,-0.059,-0.0001
0_barbers_near,barbers_near,-0.0032,0.0034,-0.0241,-0.1077,0.0008,0.0002,18705,571,0.0001,0.0001,0.1857,-0.0117,0.0073,-0.0544
1_barbers_near,barbers_near,0.0025,-0.0003,-0.001,-0.1537,0.0001,0.0008,12526,2545,0.0011,0.0006,0.1936,0.0345,0.004,-0.0995
2_barbers_near,barbers_near,-0.0249,0.0089,-0.0012,0.2339,0.0013,0.0011,34314,3925,0.0002,0.0005,-0.171,-0.0684,-0.2311,0.385
3_barbers_near,barbers_near,0.0071,0.0019,-0.0234,0.1787,0.0001,0.0001,3526,319,0.0001,0.0002,0.1008,0.0005,-0.0816,-0.0479
4_barbers_near,barbers_near,0,0,0,0,0,0,0,32,0,0,0.0554,-0.0216,0.0037,-0.0022
0_bars_far,bars_far,-0.0047,-0.0283,-0.0361,0.4039,0.0014,0.0005,19043,11421,0.0015,0.0015,-0.3148,0.1963,-0.2175,0.0852
1_bars_far,bars_far,-0.0161,0.0184,-0.0875,0.0966,0.0008,0.0002,26752,37048,0.0032,0.0028,-0.1241,0.1352,-0.0679,-0.1336
2_bars_far,bars_far,-0.0126,0.0079,0.0224,-0.0784,0.0022,0.0025,115966,129555,0.007,0.0069,-0.2138,0.0405,0.0553,-0.0325
3_bars_far,bars_far,0.0021,-0.0151,0.0298,-0.2244,0.001,0.0003,16866,26935,0.0008,0.0019,0.0877,-0.0059,0.1302,-0.1216
4_bars_far,bars_far,0.0009,0.0007,0.0037,-0.0475,0,0,562,1515,0.0012,0.0005,0.0997,0.0724,-0.0004,-0.0876
0_bars_near,bars_near,0.0041,0.0119,0.0325,-0.153,0.0003,0.0006,8056,3651,0.0002,0.0002,0.144,-0.0155,0.0417,-0.0307
1_bars_near,bars_near,0.0001,0.0028,-0.0397,-0.1418,0.0003,0.0004,10216,14707,0.0014,0.0022,-0.0884,-0.0881,0.0949,-0.0741
2_bars_near,bars_near,-0.0064,0.0042,0.0544,-0.3503,0.0015,0.0023,43253,45011,0.0021,0.0019,-0.2063,0.0596,-0.0566,0.1371
3_bars_near,bars_near,-0.0046,0.0047,0.0093,-0.0003,0.0006,0,5848,12185,0.0007,0.0003,-0.0259,0.0703,-0.0624,-0.0112
4_bars_near,bars_near,0,-0.0009,-0.0019,0.003,0,0,361,598,0.0001,0.0001,0.0631,-0.0156,0.0163,-0.0598
0_bbq_far,bbq_far,0.0415,-0.032,-0.0679,-0.1527,0.0024,0.0021,32828,6200,0.0006,0.0012,-0.0481,-0.1533,0.3018,-0.0004
1_bbq_far,bbq_far,-0.0337,0.0389,-0.0463,-0.1791,0.0016,0.0028,54472,7430,0.0011,0.0017,0.1007,-0.1254,0.1448,-0.0638
2_bbq_far,bbq_far,-0.0095,-0.0032,0.0537,0.0763,0.0015,0.0001,35745,16775,0.0028,0.0018,-0.029,0.0927,0.0745,-0.265
3_bbq_far,bbq_far,0,0,0,0,0,0,0,418,0,0,0.0983,-0.0166,-0.0275,0.0095
4_bbq_far,bbq_far,0,0,0,0,0,0,0,19,0,0,0.0379,-0.0106,0,0
0_bbq_near,bbq_near,0.027,-0.0221,-0.0206,0.0153,0.0006,0.001,7193,1917,0,0,-0.2122,0.1759,-0.1847,0.0051
1_bbq_near,bbq_near,0.0065,0.0162,-0.0289,-0.1664,0.0007,0.0011,16239,2474,0.0007,0.0004,-0.1839,0.1453,-0.021,-0.1163
2_bbq_near,bbq_near,-0.0037,-0.0066,0.0736,-0.0771,0.0013,0,17568,5117,0.0006,0.0007,0.317,-0.0449,-0.2098,0.0809
3_bbq_near,bbq_near,0,0,0,0,0,0,0,163,0,0,0.0552,-0.018,-0.0082,-0.009
4_bbq_near,bbq_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_beautysvc_far,beautysvc_far,0.0084,0.0009,-0.0418,0.0122,0.0043,0.002,1133593,68741,0.0039,0.0033,-0.1856,0.0721,-0.0221,0.0586
1_beautysvc_far,beautysvc_far,-0.0053,-0.0143,-0.0608,0.0315,0.0025,0.0018,145169,41077,0.0047,0.0039,0.0343,0.0966,-0.1493,-0.1546
2_beautysvc_far,beautysvc_far,0.0029,0.0066,0.0125,-0.0508,0.0028,0.0023,1235374,184622,0.0028,0.0075,-0.0001,-0.0177,-0.1041,-0.1353
3_beautysvc_far,beautysvc_far,-0.0035,-0.0261,0.0421,0.0264,0.0019,0.0024,394370,29359,0.0012,0.0017,0.1423,0.002,-0.0357,0.0208
4_beautysvc_far,beautysvc_far,0.0266,-0.0029,0.0392,-0.1075,0.0003,0.0002,67667,4993,0.0001,0.0008,-0.1668,0.0362,-0.0496,0.0725
0_beautysvc_near,beautysvc_near,0.0303,-0.0098,0.0313,-0.038,0.0021,0.001,357133,20884,0.0013,0.0009,-0.0201,0.0568,0.0734,-0.1147
1_beautysvc_near,beautysvc_near,-0.0072,-0.0046,-0.0291,-0.1442,0.0012,0.0015,57042,12341,0.0016,0.0011,-0.0715,0.065,0.024,-0.1792
2_beautysvc_near,beautysvc_near,-0.0022,-0.009,0.0568,-0.0153,0.0029,0.0011,454008,57018,0.0013,0.0015,-0.115,0.0104,-0.145,-0.0637
3_beautysvc_near,beautysvc_near,0.004,0.0015,-0.0814,0.0155,0.0031,0.0185,134191,9267,0.0007,0.0009,-0.0133,-0.0175,-0.021,-0.0297
4_beautysvc_near,beautysvc_near,-0.0052,-0.0014,0.0224,-0.11,0.0002,0.0002,13697,1665,0,0.0001,0.0622,-0.0071,-0.0369,0.0467
0_beer_and_wine_far,beer_and_wine_far,0.0065,0.0059,-0.0016,0.0381,0.0013,0.0009,9090,0,0,0,0,0,0,0
1_beer_and_wine_far,beer_and_wine_far,0.0056,-0.0144,-0.0373,0.1826,0.0006,0.0005,6639,0,0,0,0,0,0,0
2_beer_and_wine_far,beer_and_wine_far,0.0067,-0.0203,0.0532,-0.0009,0.0017,0.0011,45077,0,0,0,0,0,0,0
3_beer_and_wine_far,beer_and_wine_far,0.0028,-0.0068,-0.0386,0.1376,0.0005,0.0002,11663,0,0,0,0,0,0,0
4_beer_and_wine_far,beer_and_wine_far,-0.0001,-0.0017,-0.0062,0.0444,0,0,920,0,0,0,0,0,0,0
0_beer_and_wine_near,beer_and_wine_near,0.0139,-0.0077,-0.0344,-0.0339,0.001,0.0001,3037,0,0,0,0,0,0,0
1_beer_and_wine_near,beer_and_wine_near,-0.0049,0.0156,-0.0315,-0.0381,0.0005,0.0001,2915,0,0,0,0,0,0,0
2_beer_and_wine_near,beer_and_wine_near,-0.018,0.0111,-0.0415,0.3729,0.0005,0.0016,20176,0,0,0,0,0,0,0
3_beer_and_wine_near,beer_and_wine_near,0.0058,-0.003,-0.0056,0.0348,0,0,5227,0,0,0,0,0,0,0
4_beer_and_wine_near,beer_and_wine_near,0,-0.0001,0.0034,-0.0351,0,0,365,0,0,0,0,0,0,0
0_bodyshops_far,bodyshops_far,0.0813,-0.0705,-0.0314,-0.4822,0.0033,0.0048,95423,19213,0.002,0.0019,-0.0851,-0.0707,0.0535,0.1007
1_bodyshops_far,bodyshops_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_bodyshops_far,bodyshops_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_bodyshops_far,bodyshops_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_bodyshops_far,bodyshops_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_bodyshops_near,bodyshops_near,0.0218,-0.0298,-0.0222,-0.1643,0.001,0.0009,28303,5848,0.0008,0.0004,-0.3423,0.0419,-0.0565,-0.0077
1_bodyshops_near,bodyshops_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
